# camberline.x, camberline.y, pressureLine.x, pressureLine.y, suctionLine.x, suctionLine.y
9.490137878803077687e-01 4.453314048686548010e-01 9.379800869932110041e-01 4.750753720655255807e-01 9.600474887674045332e-01 4.155874376717840213e-01
9.557016383177225904e-01 4.617454509999475154e-01 9.445848668962011363e-01 4.886514155750403821e-01 9.668184097392440446e-01 4.348394864248546487e-01
9.619397662556433692e-01 4.772977344023044410e-01 9.507417185120294878e-01 5.014305151204179190e-01 9.731378139992572507e-01 4.531649536841910186e-01
9.677220154149336340e-01 4.919236228221713358e-01 9.564457101499295177e-01 5.133728158215505877e-01 9.789983206799377502e-01 4.704744298227920840e-01
9.730426794137726487e-01 5.055618179596212958e-01 9.616921891511872600e-01 5.244419700256471861e-01 9.843931696763580375e-01 4.866816658935954609e-01
9.778965073991650048e-01 5.181547181246253242e-01 9.664767858360718833e-01 5.346050970220156406e-01 9.893162289622581262e-01 5.017043392272350077e-01
9.822787092288990385e-01 5.296487625406509636e-01 9.707954236632961864e-01 5.438327202226235224e-01 9.937619947945018906e-01 5.154648048586784048e-01
9.861849601988382785e-01 5.399947545797390003e-01 9.746443349108866450e-01 5.520986875586741949e-01 9.977255854867899121e-01 5.278908216008038057e-01
9.896114053108828745e-01 5.491481613358966118e-01 9.780200808750291186e-01 5.593800808295140703e-01 1.001202729746736741e+00 5.389162418422791534e-01
9.925546630773869339e-01 5.570693870892424737e-01 9.809195753246481297e-01 5.656571195673411045e-01 1.004189750830125849e+00 5.484816546111438429e-01
9.950118288582787685e-01 5.637240183805911631e-01 9.833401097619678399e-01 5.709130646645209639e-01 1.006683547954589697e+00 5.565349720966613623e-01
9.969804777275897978e-01 5.690830386032970090e-01 9.852793789360468901e-01 5.751341265664459135e-01 1.008681576519132594e+00 5.630319506401481044e-01
9.984586668665640374e-01 5.731230102240816304e-01 9.867355050447889075e-01 5.783093822791334215e-01 1.010181828688339278e+00 5.679366381690298393e-01
9.994449374809849518e-01 5.758262229643416052e-01 9.877070591426860835e-01 5.804307047938220832e-01 1.011182815819283709e+00 5.712217411348611273e-01
9.999383162408302939e-01 5.771808065040175961e-01 9.881930784419223901e-01 5.814927078054344944e-01 1.011683554039738198e+00 5.728689052026006978e-01
1.000000000000000000e+00 5.773502691896257311e-01 9.882538422401760947e-01 5.816255209811965754e-01 1.011746157759823905e+00 5.730750173980548867e-01
