#     x             y        x_tangent     y_tangent     x_normal      y_normal
+1.58873E-01  -1.57629E-01  +7.93372E-01  -6.08737E-01  +6.08737E-01  +7.93372E-01
+1.61177E-01  -1.59388E-01  +7.96103E-01  -6.05161E-01  +6.05161E-01  +7.96103E-01
+1.63494E-01  -1.61141E-01  +7.98862E-01  -6.01515E-01  +6.01515E-01  +7.98862E-01
+1.65824E-01  -1.62887E-01  +8.01647E-01  -5.97798E-01  +5.97798E-01  +8.01647E-01
+1.68167E-01  -1.64626E-01  +8.04458E-01  -5.94009E-01  +5.94009E-01  +8.04458E-01
+1.70524E-01  -1.66357E-01  +8.07296E-01  -5.90147E-01  +5.90147E-01  +8.07296E-01
+1.72894E-01  -1.68081E-01  +8.10159E-01  -5.86210E-01  +5.86210E-01  +8.10159E-01
+1.75276E-01  -1.69796E-01  +8.13048E-01  -5.82197E-01  +5.82197E-01  +8.13048E-01
+1.77671E-01  -1.71502E-01  +8.15961E-01  -5.78107E-01  +5.78107E-01  +8.15961E-01
+1.80079E-01  -1.73199E-01  +8.18899E-01  -5.73938E-01  +5.73938E-01  +8.18899E-01
+1.82500E-01  -1.74886E-01  +8.21861E-01  -5.69688E-01  +5.69688E-01  +8.21861E-01
+1.84933E-01  -1.76563E-01  +8.24846E-01  -5.65357E-01  +5.65357E-01  +8.24846E-01
+1.87379E-01  -1.78230E-01  +8.27854E-01  -5.60943E-01  +5.60943E-01  +8.27854E-01
+1.89837E-01  -1.79885E-01  +8.30885E-01  -5.56445E-01  +5.56445E-01  +8.30885E-01
+1.92307E-01  -1.81530E-01  +8.33937E-01  -5.51860E-01  +5.51860E-01  +8.33937E-01
+1.94789E-01  -1.83163E-01  +8.37010E-01  -5.47188E-01  +5.47188E-01  +8.37010E-01
+1.97284E-01  -1.84783E-01  +8.40103E-01  -5.42427E-01  +5.42427E-01  +8.40103E-01
+1.99790E-01  -1.86391E-01  +8.43215E-01  -5.37576E-01  +5.37576E-01  +8.43215E-01
+2.02308E-01  -1.87986E-01  +8.46346E-01  -5.32633E-01  +5.32633E-01  +8.46346E-01
+2.04838E-01  -1.89568E-01  +8.49495E-01  -5.27597E-01  +5.27597E-01  +8.49495E-01
+2.07380E-01  -1.91136E-01  +8.52660E-01  -5.22466E-01  +5.22466E-01  +8.52660E-01
+2.09933E-01  -1.92690E-01  +8.55841E-01  -5.17239E-01  +5.17239E-01  +8.55841E-01
+2.12497E-01  -1.94229E-01  +8.59037E-01  -5.11913E-01  +5.11913E-01  +8.59037E-01
+2.15073E-01  -1.95753E-01  +8.62246E-01  -5.06489E-01  +5.06489E-01  +8.62246E-01
+2.17661E-01  -1.97262E-01  +8.65468E-01  -5.00964E-01  +5.00964E-01  +8.65468E-01
+2.20259E-01  -1.98755E-01  +8.68701E-01  -4.95337E-01  +4.95337E-01  +8.68701E-01
+2.22868E-01  -2.00231E-01  +8.71944E-01  -4.89606E-01  +4.89606E-01  +8.71944E-01
+2.25489E-01  -2.01691E-01  +8.75195E-01  -4.83770E-01  +4.83770E-01  +8.75195E-01
+2.28120E-01  -2.03134E-01  +8.78454E-01  -4.77827E-01  +4.77827E-01  +8.78454E-01
+2.30762E-01  -2.04559E-01  +8.81718E-01  -4.71776E-01  +4.71776E-01  +8.81718E-01
+2.33414E-01  -2.05967E-01  +8.84987E-01  -4.65616E-01  +4.65616E-01  +8.84987E-01
+2.36077E-01  -2.07356E-01  +8.88258E-01  -4.59345E-01  +4.59345E-01  +8.88258E-01
+2.38751E-01  -2.08726E-01  +8.91530E-01  -4.52962E-01  +4.52962E-01  +8.91530E-01
+2.41435E-01  -2.10077E-01  +8.94801E-01  -4.46466E-01  +4.46466E-01  +8.94801E-01
+2.44128E-01  -2.11409E-01  +8.98069E-01  -4.39855E-01  +4.39855E-01  +8.98069E-01
+2.46833E-01  -2.12721E-01  +9.01332E-01  -4.33128E-01  +4.33128E-01  +9.01332E-01
+2.49547E-01  -2.14013E-01  +9.04589E-01  -4.26284E-01  +4.26284E-01  +9.04589E-01
+2.52271E-01  -2.15284E-01  +9.07838E-01  -4.19322E-01  +4.19322E-01  +9.07838E-01
+2.55004E-01  -2.16534E-01  +9.11075E-01  -4.12241E-01  +4.12241E-01  +9.11075E-01
+2.57748E-01  -2.17762E-01  +9.14300E-01  -4.05039E-01  +4.05039E-01  +9.14300E-01
+2.60501E-01  -2.18968E-01  +9.17509E-01  -3.97716E-01  +3.97716E-01  +9.17509E-01
+2.63263E-01  -2.20153E-01  +9.20700E-01  -3.90270E-01  +3.90270E-01  +9.20700E-01
+2.66035E-01  -2.21314E-01  +9.23872E-01  -3.82702E-01  +3.82702E-01  +9.23872E-01
+2.68816E-01  -2.22453E-01  +9.27021E-01  -3.75010E-01  +3.75010E-01  +9.27021E-01
+2.71606E-01  -2.23568E-01  +9.30145E-01  -3.67193E-01  +3.67193E-01  +9.30145E-01
+2.74405E-01  -2.24659E-01  +9.33241E-01  -3.59252E-01  +3.59252E-01  +9.33241E-01
+2.77214E-01  -2.25726E-01  +9.36306E-01  -3.51185E-01  +3.51185E-01  +9.36306E-01
+2.80030E-01  -2.26769E-01  +9.39338E-01  -3.42992E-01  +3.42992E-01  +9.39338E-01
+2.82856E-01  -2.27786E-01  +9.42334E-01  -3.34673E-01  +3.34673E-01  +9.42334E-01
+2.85690E-01  -2.28779E-01  +9.45291E-01  -3.26227E-01  +3.26227E-01  +9.45291E-01
+2.88533E-01  -2.29745E-01  +9.48206E-01  -3.17656E-01  +3.17656E-01  +9.48206E-01
+2.91384E-01  -2.30686E-01  +9.51076E-01  -3.08958E-01  +3.08958E-01  +9.51076E-01
+2.94243E-01  -2.31600E-01  +9.53897E-01  -3.00134E-01  +3.00134E-01  +9.53897E-01
+2.97110E-01  -2.32488E-01  +9.56667E-01  -2.91184E-01  +2.91184E-01  +9.56667E-01
+2.99985E-01  -2.33348E-01  +9.59382E-01  -2.82109E-01  +2.82109E-01  +9.59382E-01
+3.02869E-01  -2.34181E-01  +9.62040E-01  -2.72910E-01  +2.72910E-01  +9.62040E-01
+3.05760E-01  -2.34986E-01  +9.64636E-01  -2.63587E-01  +2.63587E-01  +9.64636E-01
+3.08658E-01  -2.35763E-01  +9.67167E-01  -2.54141E-01  +2.54141E-01  +9.67167E-01
+3.11564E-01  -2.36511E-01  +9.69631E-01  -2.44573E-01  +2.44573E-01  +9.69631E-01
+3.14478E-01  -2.37231E-01  +9.72023E-01  -2.34885E-01  +2.34885E-01  +9.72023E-01
+3.17399E-01  -2.37921E-01  +9.74341E-01  -2.25078E-01  +2.25078E-01  +9.74341E-01
+3.20327E-01  -2.38582E-01  +9.76580E-01  -2.15153E-01  +2.15153E-01  +9.76580E-01
+3.23263E-01  -2.39213E-01  +9.78738E-01  -2.05113E-01  +2.05113E-01  +9.78738E-01
+3.26205E-01  -2.39813E-01  +9.80811E-01  -1.94959E-01  +1.94959E-01  +9.80811E-01
+3.29154E-01  -2.40384E-01  +9.82796E-01  -1.84694E-01  +1.84694E-01  +9.82796E-01
+3.32110E-01  -2.40923E-01  +9.84689E-01  -1.74319E-01  +1.74319E-01  +9.84689E-01
+3.35072E-01  -2.41431E-01  +9.86487E-01  -1.63838E-01  +1.63838E-01  +9.86487E-01
+3.38041E-01  -2.41908E-01  +9.88187E-01  -1.53254E-01  +1.53254E-01  +9.88187E-01
+3.41017E-01  -2.42353E-01  +9.89785E-01  -1.42568E-01  +1.42568E-01  +9.89785E-01
+3.43998E-01  -2.42766E-01  +9.91278E-01  -1.31784E-01  +1.31784E-01  +9.91278E-01
+3.46986E-01  -2.43146E-01  +9.92664E-01  -1.20906E-01  +1.20906E-01  +9.92664E-01
+3.49980E-01  -2.43494E-01  +9.93939E-01  -1.09937E-01  +1.09937E-01  +9.93939E-01
+3.52980E-01  -2.43809E-01  +9.95099E-01  -9.88800E-02  +9.88800E-02  +9.95099E-01
+3.55985E-01  -2.44091E-01  +9.96143E-01  -8.77397E-02  +8.77397E-02  +9.96143E-01
+3.58997E-01  -2.44339E-01  +9.97068E-01  -7.65198E-02  +7.65198E-02  +9.97068E-01
+3.62014E-01  -2.44554E-01  +9.97871E-01  -6.52245E-02  +6.52245E-02  +9.97871E-01
+3.65036E-01  -2.44734E-01  +9.98549E-01  -5.38581E-02  +5.38581E-02  +9.98549E-01
+3.68063E-01  -2.44880E-01  +9.99100E-01  -4.24252E-02  +4.24252E-02  +9.99100E-01
+3.71096E-01  -2.44991E-01  +9.99522E-01  -3.09305E-02  +3.09305E-02  +9.99522E-01
+3.74134E-01  -2.45068E-01  +9.99812E-01  -1.93787E-02  +1.93787E-02  +9.99812E-01
+3.77177E-01  -2.45109E-01  +9.99970E-01  -7.77482E-03  +7.77482E-03  +9.99970E-01
+3.80225E-01  -2.45115E-01  +9.99992E-01  +3.87608E-03  -3.87608E-03  +9.99992E-01
+3.83277E-01  -2.45085E-01  +9.99879E-01  +1.55688E-02  -1.55688E-02  +9.99879E-01
+3.86334E-01  -2.45020E-01  +9.99627E-01  +2.72980E-02  -2.72980E-02  +9.99627E-01
+3.89396E-01  -2.44918E-01  +9.99237E-01  +3.90584E-02  -3.90584E-02  +9.99237E-01
+3.92462E-01  -2.44780E-01  +9.98707E-01  +5.08444E-02  -5.08444E-02  +9.98707E-01
+3.95532E-01  -2.44606E-01  +9.98036E-01  +6.26504E-02  -6.26504E-02  +9.98036E-01
+3.98606E-01  -2.44394E-01  +9.97223E-01  +7.44709E-02  -7.44709E-02  +9.97223E-01
+4.01685E-01  -2.44146E-01  +9.96269E-01  +8.63002E-02  -8.63002E-02  +9.96269E-01
+4.04767E-01  -2.43861E-01  +9.95173E-01  +9.81326E-02  -9.81326E-02  +9.95173E-01
+4.07853E-01  -2.43538E-01  +9.93936E-01  +1.09962E-01  -1.09962E-01  +9.93936E-01
+4.10942E-01  -2.43177E-01  +9.92557E-01  +1.21784E-01  -1.21784E-01  +9.92557E-01
+4.14035E-01  -2.42779E-01  +9.91037E-01  +1.33591E-01  -1.33591E-01  +9.91037E-01
+4.17132E-01  -2.42343E-01  +9.89376E-01  +1.45378E-01  -1.45378E-01  +9.89376E-01
+4.20232E-01  -2.41868E-01  +9.87576E-01  +1.57140E-01  -1.57140E-01  +9.87576E-01
+4.23335E-01  -2.41356E-01  +9.85638E-01  +1.68871E-01  -1.68871E-01  +9.85638E-01
+4.26441E-01  -2.40805E-01  +9.83563E-01  +1.80566E-01  -1.80566E-01  +9.83563E-01
+4.29549E-01  -2.40215E-01  +9.81352E-01  +1.92218E-01  -1.92218E-01  +9.81352E-01
+4.32661E-01  -2.39586E-01  +9.79008E-01  +2.03823E-01  -2.03823E-01  +9.79008E-01
+4.35775E-01  -2.38919E-01  +9.76532E-01  +2.15374E-01  -2.15374E-01  +9.76532E-01
+4.38892E-01  -2.38212E-01  +9.73925E-01  +2.26868E-01  -2.26868E-01  +9.73925E-01
+4.42011E-01  -2.37466E-01  +9.71192E-01  +2.38299E-01  -2.38299E-01  +9.71192E-01
+4.45133E-01  -2.36681E-01  +9.68333E-01  +2.49662E-01  -2.49662E-01  +9.68333E-01
+4.48257E-01  -2.35856E-01  +9.65352E-01  +2.60952E-01  -2.60952E-01  +9.65352E-01
+4.51382E-01  -2.34991E-01  +9.62251E-01  +2.72164E-01  -2.72164E-01  +9.62251E-01
+4.54510E-01  -2.34087E-01  +9.59033E-01  +2.83294E-01  -2.83294E-01  +9.59033E-01
